,Account Name,Tweet Date,Tweet ID,Text,Favorite Count,Retweet Count,Language,Account Created Date,Followers Count,Account Location,Compound,Positive,Negative,Neutral
0,CryptoHustle,Tue Mar 20 14:33:04 +0000 2018,976104339793117196,"#Shitcoin trading...
https://t.co/CuST2KNSOG",179,28,en,Sat Apr 18 15:43:34 +0000 2015,99442,Save 10% off your trading fees with this link,0.0,0.0,0.0,1.0
1,CryptoHustle,Mon Mar 19 14:33:31 +0000 2018,975742066566270976,"RT @coinsiglieri: Bitcoiners food pyramid: lobster, steak or ramen. https://t.co/zH64GPrhuy",0,233,en,Sat Apr 18 15:43:34 +0000 2015,99442,Save 10% off your trading fees with this link,0.0,0.0,0.0,1.0
2,CryptoHustle,Sun Mar 18 23:02:27 +0000 2018,975507755149774849,@Matrix119911 @realPaulCaine High volume = +$100M in 24/hr trading activity. https://t.co/4htmz5meO7,3,0,en,Sat Apr 18 15:43:34 +0000 2015,99442,Save 10% off your trading fees with this link,0.0,0.0,0.0,1.0
3,CryptoHustle,Sun Mar 18 22:55:37 +0000 2018,975506036844105728,"@Matrix119911 A market that has good buy support, wide exchange distribution and high volume.",8,0,en,Sat Apr 18 15:43:34 +0000 2015,99442,Save 10% off your trading fees with this link,0.6808,0.337,0.0,0.663
4,CryptoHustle,Sun Mar 18 22:54:23 +0000 2018,975505724490084352,Started scaling into a few liquid altcoins with some of my USD. BTC may be overdue for more green after a couple we… https://t.co/P3znAK831U,217,25,en,Sat Apr 18 15:43:34 +0000 2015,99442,Save 10% off your trading fees with this link,0.0,0.0,0.0,1.0
5,CryptoHustle,Sun Mar 18 22:49:17 +0000 2018,975504440559132675,"@CryptoBearReal Oops, I'll correct. lol",0,0,en,Sat Apr 18 15:43:34 +0000 2015,99442,Save 10% off your trading fees with this link,0.4215,0.412,0.0,0.588
6,CryptoHustle,Sun Mar 18 18:38:22 +0000 2018,975441294746152966,RT @WhalePanda: Regarding the $ETH dump. 50k $ETH was deposited on Bitfinex 12 hours ago coming from the $EOS crowdsale. thanks @claptrapxl…,0,368,en,Sat Apr 18 15:43:34 +0000 2015,99442,Save 10% off your trading fees with this link,0.0772,0.114,0.102,0.784
7,CryptoHustle,Sun Mar 18 16:54:46 +0000 2018,975415224156262400,Having a quick altcoin season in Dec was probably one of the worst things to happen to new traders. I've seen sever… https://t.co/LEB9aytuOq,140,17,en,Sat Apr 18 15:43:34 +0000 2015,99442,Save 10% off your trading fees with this link,-0.6249,0.0,0.163,0.837
8,CryptoHustle,Sun Mar 18 16:12:22 +0000 2018,975404554723450880,RT @hernzzzzzz: shitcoins https://t.co/cIPATCKUgv,0,13,en,Sat Apr 18 15:43:34 +0000 2015,99442,Save 10% off your trading fees with this link,0.0,0.0,0.0,1.0
9,CryptoHustle,Sat Mar 17 19:38:11 +0000 2018,975093961965568000,"RT @CryptoHustle: Perhaps I'm just being a greedy degenerate...
and I know this is considered #crypto blasphemy but
my ideal accumulation z…",0,18,en,Sat Apr 18 15:43:34 +0000 2015,99442,Save 10% off your trading fees with this link,0.6059,0.19,0.068,0.742
